nombre,cuil,telefono,localidad,origen,fecha_carga
Camila Silva,27-43282388-7,1168442737,Moreno,evento,2026-04-22
Joaquín Álvarez,24-42806274-0,011-41617956,Merlo,referido,2026-05-18
Thiago Ortiz,23-28032517-1,011-49935417,Moreno,campaña Meta,2026-05-26
Bautista Torres,23-22759550-7,1136154764,Merlo,evento,2026-04-11
Emilia Rodríguez,27-28258115-4,116056,Moreno,referido,2026-07-17
Julieta Romero,27-36198187-7,+549 11 3992-7555,San Justo,formulario web,2026-07-26
Tomás Juárez,24-34991764-1,sindato,Villa Luzuriaga,referido,2026-05-10
Delfina Acosta,20-20474139-6,sin dato,Moreno,evento,2026-05-25
Agustina Martínez,23-29534527-6,sin dato,Moreno,base propia,2026-07-18
Nicolás Martínez,24-21690462-8,011-49840167,Castelar,campaña Meta,2026-06-19
Camila Acosta,23-39105299-9,01148672641,Morón,base propia,2026-05-18
Emilia Díaz,23-29763387-2,011-46245376,Hurlingham,referido,2026-07-26
Catalina Ramírez,27-29311903-7,1165176328,Hurlingham,base propia,2026-05-26
Camila Acosta,23-39105299-9,011-48672641,Morón,base propia,2026-05-18
Abril Medina,27-38848510-3,1133813298,Morón,formulario web,2026-07-20
Bautista Castro,27-35064276-0,117414,Ituzaingó,formulario web,2026-05-14
Facundo Medina,27-25523609-7,011-49126390,Villa Luzuriaga,evento,2026-04-15
Thiago Molina,27-39805441-0,1141205720,Villa Luzuriaga,campaña Meta,2026-07-13
Agustina Núñez,23-21399641-9,011-47786124,Moreno,evento,2026-05-22
Isabella Benítez,20-33611372-6,1169319223,Castelar,evento,2026-05-17
Lautaro Flores,23-39684473-7,sin dato,Morón,base propia,2026-05-28
Renata Díaz,20-32588238-8,118830,Moreno,referido,2026-04-24
Renata Molina,23-33021869-9,115920,Haedo,campaña Meta,2026-04-10
Benjamín Sánchez,23-24773673-5,111202,Moreno,campaña Meta,2026-07-15
Abril Silva,20-21136174-4,011-47439811,Morón,formulario web,2026-06-25
Franco Ruiz,27-38138247-3,sin dato,Ramos Mejía,evento,2026-06-12
Bautista Aguirre,20-38944473-2,1135732540,Merlo,campaña Meta,2026-06-28
Agustina Pérez,24-45476130-4,sin dato,San Justo,referido,2026-05-27
Martina Aguirre,23-35069760-8,117098,Hurlingham,base propia,2026-04-13
Camila Flores,20-33721767-3,sin dato,Ituzaingó,base propia,2026-05-14
Emilia Cabrera,27-27742735-9,+549 11 6538-5561,Castelar,formulario web,2026-05-14
Isabella Flores,23-28975232-3,011-44875947,Haedo,evento,2026-05-14
Julieta Martínez,20-37026717-1,+549 11 3296-9779,Ituzaingó,formulario web,2026-04-23
Franco Silva,20-21279951-4,sin dato,Haedo,evento,2026-05-15
Joaquín Rodríguez,20-39156684-5,113363,Haedo,evento,2026-05-13
Martina Díaz,27-24398102-1,115249,Morón,base propia,2026-07-28
Sofía Torres,24-37285239-5,119103,Haedo,evento,2026-05-19
Ignacio Acosta,20-42089564-0,sin dato,Moreno,referido,2026-07-26
Catalina Aguirre,20-23754507-9,1169280985,Ramos Mejía,evento,2026-05-21
Agustina Aguirre,20-26844313-5,011-44651484,Haedo,formulario web,2026-05-10
Sofía Aguirre,27-33433260-3,011-48805987,Ramos Mejía,formulario web,2026-05-21
Lucía Álvarez,27-34053160-9,+549 11 5725-5863,Ramos Mejía,campaña Meta,2026-06-10
Tomás Rodríguez,24-36992769-4,+549 11 4454-9089,Merlo,campaña Meta,2026-07-13
Nicolás González,24-40209136-9,+549 11 5515-7164,Merlo,referido,2026-04-13
Catalina González,24-44400204-9,sin dato,Castelar,referido,2026-06-22
Ignacio Rodríguez,24-34034578-5,011-48572860,Moreno,campaña Meta,2026-05-10
Sofía Molina,20-35226112-3,+549 11 3343-4643,Morón,base propia,2026-07-18
Joaquín Silva,20-24888088-1,+549 11 4986-3987,Moreno,evento,2026-06-28
Bautista Aguirre,20-38944473-2,1135732540,Merlo,campaña Meta,2026-06-28
Santiago Martínez,24-20701907-7,sin dato,Merlo,base propia,2026-06-11
Bautista Rodríguez,23-33110760-3,+549 11 4696-7823,Moreno,campaña Meta,2026-04-23
Lucía Torres,24-36851637-2,011-43663675,San Justo,campaña Meta,2026-06-26
Abril Pérez,24-35465446-2,117655,Castelar,campaña Meta,2026-04-11
Thiago Fernández,23-36195157-3,+549 11 3929-8701,Hurlingham,evento,2026-04-25
Camila Silva,20-37810636-3,+549 11 6565-7916,Castelar,formulario web,2026-06-23
Mateo Rojas,27-31927396-9,1150777399,Castelar,evento,2026-04-25
Mateo Castro,24-44801061-5,1152686256,Villa Luzuriaga,formulario web,2026-05-25
Abril Molina,20-30612578-9,sin dato,Merlo,evento,2026-07-25
Catalina Martínez,23-23666797-9,+549 11 6003-5872,Ramos Mejía,base propia,2026-05-22
Joaquín Pérez,20-33289890-7,+549 11 3628-5609,Haedo,campaña Meta,2026-05-13
Isabella Herrera,20-39274461-5,011-47066345,Haedo,evento,2026-07-20
Lucía Cabrera,23-37565966-2,113142,Villa Luzuriaga,formulario web,2026-07-15
Isabella Ruiz,27-42006949-4,011-43665162,Castelar,evento,2026-07-21
Nicolás Molina,24-40842360-7,+549 11 5456-3415,Hurlingham,campaña Meta,2026-04-25
Camila Medina,23-34556229-9,112683,Ituzaingó,campaña Meta,2026-04-18
Facundo Álvarez,27-25656511-6,sin dato,San Justo,campaña Meta,2026-05-10
Lautaro Cabrera,20-32637211-1,+549 11 3127-1685,San Justo,evento,2026-04-10
Agustina Pérez,24-45476130-4,sin dato,San Justo,referido,2026-05-27
Franco Pérez,27-35191954-5,sin dato,Haedo,evento,2026-06-19
Renata Molina,23-33021869-9,115920,Haedo,campaña Meta,2026-04-10
Emilia Ramírez,27-38594288-0,1164290145,Villa Luzuriaga,campaña Meta,2026-04-11
Isabella Castro,24-45135231-4,112274,Castelar,referido,2026-04-22
Federico Molina,27-25990194-9,011-42422346,Moreno,base propia,2026-04-22
Lucía Fernández,24-30208753-5,1139654626,Ituzaingó,formulario web,2026-05-22
Ignacio Ortiz,20-44065577-8,+549 11 5574-9160,Morón,formulario web,2026-04-10
Renata Martínez,20-44843821-0,011-47820677,Villa Luzuriaga,base propia,2026-07-28
Mateo González,23-42392719-4,+549 11 6624-7881,Moreno,base propia,2026-05-25
Ignacio Sánchez,23-35750504-6,+549 11 5728-7771,Merlo,campaña Meta,2026-06-22
Valentina Ruiz,24-23412816-3,1156183265,Morón,base propia,2026-05-17
Valentina Gómez,20-39018102-8,1159569968,Castelar,evento,2026-04-21
Sofía Rojas,23-42803475-9,114744,Castelar,formulario web,2026-07-23
Facundo Ramírez,20-40002707-3,011-43455900,Castelar,referido,2026-04-11
Mateo Gómez,27-22703859-9,sin dato,Castelar,referido,2026-07-27
Camila Castro,20-22206716-3,1131928214,Hurlingham,base propia,2026-05-27
Lucía Aguirre,24-23150971-9,1168687087,Castelar,formulario web,2026-06-13
Agustina Medina,20-42122419-7,1146412122,Villa Luzuriaga,formulario web,2026-07-18
Lucas Luna,24-28332907-7,011-42515485,Castelar,evento,2026-06-11
Franco Romero,23-41958111-9,+549 11 4972-1044,Haedo,base propia,2026-07-25
Tomás Rodríguez,24-36992769-4,+549 11 4454-9089,Merlo,campaña Meta,2026-07-13
Lautaro Fernández,27-32836599-0,sin dato,Ramos Mejía,referido,2026-06-11
Renata Molina,27-34490034-0,sin dato,Haedo,formulario web,2026-05-11
Delfina Fernández,24-23780831-9,113172,Merlo,campaña Meta,2026-07-25
Lucía González,27-23879240-7,011-48588902,Merlo,campaña Meta,2026-06-17
Santiago Ruiz,24-21790952-6,sin dato,Hurlingham,referido,2026-04-15
Mía Acosta,23-36504417-1,011-43284817,Haedo,campaña Meta,2026-05-12
Santiago Ortiz,20-28456776-6,118422,Villa Luzuriaga,referido,2026-06-18
Martina Díaz,20-40924443-3,+549 11 4905-4628,San Justo,evento,2026-05-17
Renata Álvarez,20-44464753-2,117430,Hurlingham,base propia,2026-04-18
Agustina Flores,24-21354319-5,sin dato,Haedo,campaña Meta,2026-04-11
Abril Torres,23-20013407-9,011-48444960,Morón,formulario web,2026-04-22
Delfina Ortiz,20-37800978-3,sin dato,Villa Luzuriaga,campaña Meta,2026-04-17
Martina Acosta,20-21351129-8,sin dato,Morón,evento,2026-06-18
Emilia Núñez,20-26675710-8,+549 11 3228-2655,Haedo,evento,2026-07-13
Joaquín Ruiz,27-36984202-7,+549 11 6673-5252,Hurlingham,campaña Meta,2026-05-16
Tomás Díaz,23-38354349-5,sin dato,Ituzaingó,formulario web,2026-07-19
Delfina Herrera,20-40770515-8,112028,Ituzaingó,referido,2026-07-20
Isabella Juárez,20-28585310-9,011-47222855,Merlo,formulario web,2026-04-11
Mía Medina,27-22307301-3,119137,Ramos Mejía,base propia,2026-07-12
Delfina Herrera,20-40770515-8,112028,Ituzaingó,referido,2026-07-20
Sofía Aguirre,27-45406468-8,sin dato,Castelar,formulario web,2026-05-23
Federico Rojas,20-38458568-0,sin dato,Castelar,campaña Meta,2026-07-23
Lucía Rodríguez,20-21168032-7,1152739380,Villa Luzuriaga,base propia,2026-07-25
Joaquín Rojas,23-28680134-9,+549 11 4427-3636,Ramos Mejía,campaña Meta,2026-04-16
Valentina López,23-29074665-5,1145337989,Castelar,referido,2026-06-22
Federico Ruiz,24-28831372-1,011-48082166,Moreno,evento,2026-05-22
Ignacio Ruiz,23-24338560-1,011-44672753,Ramos Mejía,campaña Meta,2026-07-27
Abril Ruiz,20-20889755-2,sin dato,Moreno,campaña Meta,2026-06-16
Lucía Fernández,24-30208753-5,1139654626,Ituzaingó,formulario web,2026-05-22
Mía Álvarez,27-44623991-6,111717,Villa Luzuriaga,campaña Meta,2026-04-28
Tomás Castro,20-34451057-2,+549 11 3756-7910,Hurlingham,evento,2026-04-25
Emilia Herrera,20-30672552-2,sin dato,San Justo,referido,2026-04-14
Julieta Martínez,27-23474128-9,sin dato,San Justo,referido,2026-04-16
Benjamín Silva,24-34135692-6,sin dato,Ituzaingó,base propia,2026-06-12
Abril Pérez,24-35465446-2,117655,Castelar,campaña Meta,2026-04-11
Martina Díaz,27-29014641-6,1135761581,Moreno,campaña Meta,2026-05-12
Lucía Álvarez,20-36630423-2,01147237924,Villa Luzuriaga,referido,2026-04-23
Federico Núñez,24-33487300-1,011-43505057,Haedo,formulario web,2026-04-27
Lucas Castro,24-21824976-7,sin dato,Castelar,formulario web,2026-04-18
Bautista Flores,24-32514831-0,+549 11 6193-5815,Haedo,base propia,2026-05-24
Mateo Benítez,24-35591498-0,+549 11 5835-4566,San Justo,referido,2026-04-27
Abril López,27-36726054-3,1134842914,San Justo,campaña Meta,2026-05-14
Facundo Castro,27-20043589-9,011-44633513,Villa Luzuriaga,campaña Meta,2026-06-11
Mía Ramírez,20-34327735-1,011-42712000,Morón,formulario web,2026-04-12
Camila Romero,27-32808994-2,112393,Ituzaingó,campaña Meta,2026-06-11
Renata Rodríguez,23-32223206-3,+549 11 6421-5689,Moreno,base propia,2026-05-17
Lucía Álvarez,20-36630423-2,011-47237924,Villa Luzuriaga,referido,2026-04-23
Emilia Díaz,23-29763387-2,011-46245376,Hurlingham,referido,2026-07-26
Victoria Gómez,20-28874956-7,112916,Moreno,campaña Meta,2026-05-25
Renata Torres,24-40935601-6,011-44762441,San Justo,campaña Meta,2026-05-10
Martina Díaz,27-29014641-6,1135761581,Moreno,campaña Meta,2026-05-12
Lucía Benítez,23-30999136-2,011-49330569,Merlo,referido,2026-06-12
Lucía Pérez,20-22933362-4,114222,Hurlingham,referido,2026-06-15
Federico Romero,20-35944698-6,011-41063277,San Justo,referido,2026-06-23
Abril Molina,24-37506427-4,+549 11 3519-9708,Castelar,referido,2026-06-15
Lucía Gómez,20-41069908-8,sin dato,Merlo,base propia,2026-04-22
Catalina Torres,23-25930949-2,sin dato,Hurlingham,formulario web,2026-06-26
Franco Díaz,23-35694610-3,+549 11 6848-6999,Ituzaingó,formulario web,2026-07-25
Federico Flores,23-40985220-3,sin dato,Moreno,formulario web,2026-07-11
Valentina Sánchez,20-20652672-7,115103,Ramos Mejía,campaña Meta,2026-06-10
Bautista Pérez,23-43242669-6,+549 11 5724-7240,Haedo,formulario web,2026-07-15
Martina Juárez,23-35125555-2,115512,Castelar,formulario web,2026-06-14
Federico Núñez,24-33487300-1,011-43505057,Haedo,formulario web,2026-04-27
Emilia Ruiz,24-39467451-2,sin dato,Haedo,formulario web,2026-05-19
Ignacio Torres,27-31123223-7,1131307477,Villa Luzuriaga,evento,2026-06-26
Franco Pérez,27-35191954-5,sin dato,Haedo,evento,2026-06-19
Julieta Gómez,27-38300624-9,sin dato,Hurlingham,formulario web,2026-07-19
Gonzalo Ríos,24-38940677-1,+549 11 6777-2964,Ituzaingó,formulario web,2026-07-15
Bautista Fernández,20-27490656-2,111968,Hurlingham,formulario web,2026-07-11
Nicolás Acosta,27-37037325-1,118411,Ituzaingó,evento,2026-06-27
Benjamín Sánchez,24-43880160-6,+549 11 3951-1635,Morón,base propia,2026-07-26
Camila Medina,20-43092347-2,+549 11 5868-6358,Castelar,referido,2026-04-18
