nombre,cuil,telefono,localidad,origen,fecha_carga,puntaje,prioridad,motivo
Julieta Romero,27-36198187-7,+549 11 3992-7555,San Justo,formulario web,2026-07-26,100,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Franco Díaz,23-35694610-3,+549 11 6848-6999,Ituzaingó,formulario web,2026-07-25,100,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Bautista Pérez,23-43242669-6,+549 11 5724-7240,Haedo,formulario web,2026-07-15,100,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Gonzalo Ríos,24-38940677-1,+549 11 6777-2964,Ituzaingó,formulario web,2026-07-15,100,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Emilia Núñez,20-26675710-8,+549 11 3228-2655,Haedo,evento,2026-07-13,100,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; evento +10
Santiago Ruiz,23-41468442-4,+549 11 6670-3657,Morón,referido,2026-06-26,95,alta,celular +30; cuil válido +15; en zona +20; frescura media +15; referido +15
Abril Molina,24-37506427-4,+549 11 3519-9708,Castelar,referido,2026-06-15,95,alta,celular +30; cuil válido +15; en zona +20; frescura media +15; referido +15
Benjamín Sánchez,24-43880160-6,+549 11 3951-1635,Morón,base propia,2026-07-26,90,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Franco Romero,23-41958111-9,+549 11 4972-1044,Haedo,base propia,2026-07-25,90,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Facundo Torres,23-43237180-8,+549 11 6236-5577,Hurlingham,base propia,2026-07-21,90,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Sofía Molina,20-35226112-3,+549 11 3343-4643,Morón,base propia,2026-07-18,90,alta,celular +30; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Camila Silva,20-37810636-3,+549 11 6565-7916,Castelar,formulario web,2026-06-23,90,alta,celular +30; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Isabella Fernández,24-31239758-3,+549 11 3798-2029,Hurlingham,formulario web,2026-06-20,90,alta,celular +30; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Abril Medina,27-38848510-3,1133813298,Morón,formulario web,2026-07-20,88,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Agustina Medina,20-42122419-7,1146412122,Villa Luzuriaga,formulario web,2026-07-18,88,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Emilia Díaz,23-29763387-2,011-46245376,Hurlingham,referido,2026-07-26,85,alta,fijo +10; cuil válido +15; en zona +20; frescura alta +25; referido +15
Thiago Molina,27-39805441-0,1141205720,Villa Luzuriaga,campaña Meta,2026-07-13,83,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; campaña Meta +5
Valentina López,23-29074665-5,1145337989,Castelar,referido,2026-06-22,83,alta,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; referido +15
Isabella Ruiz,27-42006949-4,011-43665162,Castelar,evento,2026-07-21,80,alta,fijo +10; cuil válido +15; en zona +20; frescura alta +25; evento +10
Isabella Herrera,20-39274461-5,011-47066345,Haedo,evento,2026-07-20,80,alta,fijo +10; cuil válido +15; en zona +20; frescura alta +25; evento +10
Martina Juárez,27-23258395-4,+549 11 5403-4499,San Justo,evento,2026-05-18,80,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; evento +10
Martina Díaz,20-40924443-3,+549 11 4905-4628,San Justo,evento,2026-05-17,80,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; evento +10
Mateo Benítez,24-35591498-0,+549 11 5835-4566,San Justo,referido,2026-04-27,80,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; referido +15
Victoria Ortiz,20-33855327-8,+549 11 6150-9253,Morón,referido,2026-04-21,80,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; referido +15
Camila Medina,20-43092347-2,+549 11 5868-6358,Castelar,referido,2026-04-18,80,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; referido +15
Lucía Rodríguez,20-21168032-7,1152739380,Villa Luzuriaga,base propia,2026-07-25,78,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Ignacio Torres,27-31123223-7,1131307477,Villa Luzuriaga,evento,2026-06-26,78,alta,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; evento +10
Lucas Silva,20-22625366-2,1155408718,Haedo,formulario web,2026-06-23,78,alta,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Lucía Aguirre,24-23150971-9,1168687087,Castelar,formulario web,2026-06-13,78,alta,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Ignacio Ruiz,23-24338560-1,011-44672753,Ramos Mejía,campaña Meta,2026-07-27,75,alta,fijo +10; cuil válido +15; en zona +20; frescura alta +25; campaña Meta +5
Federico Romero,20-35944698-6,011-41063277,San Justo,referido,2026-06-23,75,alta,fijo +10; cuil válido +15; en zona +20; frescura media +15; referido +15
Santiago Núñez,27-43333949-0,011-43592955,Haedo,referido,2026-06-19,75,alta,fijo +10; cuil válido +15; en zona +20; frescura media +15; referido +15
Sofía Silva,20-39410806-6,+549 11 6898-2179,Castelar,campaña Meta,2026-05-24,75,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Joaquín Ruiz,27-36984202-7,+549 11 6673-5252,Hurlingham,campaña Meta,2026-05-16,75,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Joaquín Pérez,20-33289890-7,+549 11 3628-5609,Haedo,campaña Meta,2026-05-13,75,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Thiago Fernández,23-36195157-3,+549 11 3929-8701,Hurlingham,evento,2026-04-25,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; evento +10
Tomás Castro,20-34451057-2,+549 11 3756-7910,Hurlingham,evento,2026-04-25,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; evento +10
Julieta Martínez,20-37026717-1,+549 11 3296-9779,Ituzaingó,formulario web,2026-04-23,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Thiago Molina,24-37430078-0,+549 11 3639-6173,Hurlingham,formulario web,2026-04-11,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Lautaro Cabrera,20-32637211-1,+549 11 3127-1685,San Justo,evento,2026-04-10,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; evento +10
Ignacio Ortiz,20-44065577-8,+549 11 5574-9160,Morón,formulario web,2026-04-10,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Renata Ortiz,24-20609452-0,+549 11 4825-9193,Haedo,formulario web,2026-04-10,75,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Renata Martínez,20-44843821-0,011-47820677,Villa Luzuriaga,base propia,2026-07-28,70,alta,fijo +10; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Benjamín Ruiz,24-26398277-7,011-46271400,Castelar,evento,2026-07-11,70,alta,fijo +10; cuil válido +15; en zona +20; frescura media +15; evento +10
Abril Silva,20-21136174-4,011-47439811,Morón,formulario web,2026-06-25,70,alta,fijo +10; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Bautista Flores,24-32514831-0,+549 11 6193-5815,Haedo,base propia,2026-05-24,70,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Catalina Martínez,23-23666797-9,+549 11 6003-5872,Ramos Mejía,base propia,2026-05-22,70,alta,celular +30; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Nicolás Molina,24-40842360-7,+549 11 5456-3415,Hurlingham,campaña Meta,2026-04-25,70,alta,celular +30; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
Renata González,24-41572717-4,1143771745,Ramos Mejía,base propia,2026-06-15,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; base propia +0
Thiago Cabrera,20-20087761-7,1133206217,Hurlingham,base propia,2026-06-13,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; base propia +0
Mateo Castro,24-44801061-5,1152686256,Villa Luzuriaga,formulario web,2026-05-25,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Lucía Fernández,24-30208753-5,1139654626,Ituzaingó,formulario web,2026-05-22,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Isabella Benítez,20-33611372-6,1169319223,Castelar,evento,2026-05-17,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; evento +10
Lucía Torres,24-36851637-2,011-43663675,San Justo,campaña Meta,2026-06-26,65,media,fijo +10; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5
Nicolás Martínez,24-21690462-8,011-49840167,Castelar,campaña Meta,2026-06-19,65,media,fijo +10; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5
Emilia Díaz,24-27922513-5,011-42433128,Ituzaingó,campaña Meta,2026-06-16,65,media,fijo +10; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5
Abril López,27-36726054-3,1134842914,San Justo,campaña Meta,2026-05-14,63,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Valentina Gómez,20-39018102-8,1159569968,Castelar,evento,2026-04-21,63,media,ambiguo +18; cuil válido +15; en zona +20; frescura fria +0; evento +10
Lucas Luna,24-28332907-7,011-42515485,Castelar,evento,2026-06-11,60,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; evento +10
Sofía Aguirre,27-33433260-3,011-48805987,Ramos Mejía,formulario web,2026-05-21,60,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Isabella Flores,23-28975232-3,011-44875947,Haedo,evento,2026-05-14,60,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; evento +10
Agustina Aguirre,20-26844313-5,011-44651484,Haedo,formulario web,2026-05-10,60,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Lucía Álvarez,20-36630423-2,01147237924,Villa Luzuriaga,referido,2026-04-23,60,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; referido +15
Julieta Díaz,24-36212898-2,011-45290651,Villa Luzuriaga,referido,2026-04-15,60,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; referido +15
Ignacio Flores,24-25099754-6,011-42228106,San Justo,referido,2026-04-12,60,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; referido +15
Facundo Ramírez,20-40002707-3,011-43455900,Castelar,referido,2026-04-11,60,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; referido +15
Camila Castro,20-22206716-3,1131928214,Hurlingham,base propia,2026-05-27,58,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Catalina Ramírez,27-29311903-7,1165176328,Hurlingham,base propia,2026-05-26,58,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Renata Gómez,27-38541999-1,1156285562,Villa Luzuriaga,base propia,2026-05-23,58,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Valentina Ruiz,24-23412816-3,1156183265,Morón,base propia,2026-05-17,58,media,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Emilia Ramírez,27-38594288-0,1164290145,Villa Luzuriaga,campaña Meta,2026-04-11,58,media,ambiguo +18; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
Facundo Castro,27-20043589-9,011-44633513,Villa Luzuriaga,campaña Meta,2026-06-11,55,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Emilia Cabrera,27-27742735-9,+549 11 6538-5561,Castelar,formulario web,2026-05-14,55,media,celular +30; cuil inválido -10; en zona +20; frescura baja +5; formulario web +10
Mía Acosta,23-36504417-1,011-43284817,Haedo,campaña Meta,2026-05-12,55,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Renata Torres,24-40935601-6,011-44762441,San Justo,campaña Meta,2026-05-10,55,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Federico Núñez,24-33487300-1,011-43505057,Haedo,formulario web,2026-04-27,55,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Abril Torres,23-20013407-9,011-48444960,Morón,formulario web,2026-04-22,55,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Facundo Medina,27-25523609-7,011-49126390,Villa Luzuriaga,evento,2026-04-15,55,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; evento +10
Mía Ramírez,20-34327735-1,011-42712000,Morón,formulario web,2026-04-12,55,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Agustina Medina,27-27940734-8,1132401064,Morón,base propia,2026-04-19,53,media,ambiguo +18; cuil válido +15; en zona +20; frescura fria +0; base propia +0
Lucía Álvarez,27-34053160-9,+549 11 5725-5863,Ramos Mejía,campaña Meta,2026-06-10,50,media,celular +30; cuil inválido -10; en zona +20; frescura baja +5; campaña Meta +5
Camila Acosta,23-39105299-9,01148672641,Morón,base propia,2026-05-18,50,media,fijo +10; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Martina Sánchez,24-28669041-2,011-43930897,Hurlingham,campaña Meta,2026-04-23,50,media,fijo +10; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
