nombre,cuil,telefono,localidad,origen,fecha_carga,telefono_norm,telefono_tipo,cuil_norm,cuil_valido,cuil_dudoso,telefono_match,id_fila,es_duplicado,duplicado_de,motivo_duplicado,en_zona,marcado,motivo_descarte,fecha_corte_usada,dias_antiguedad,frescura,motivo_frescura,puntaje,prioridad,motivo
T01 Ana Ruiz,20-31445902-5,+54 11 4161-7956,Castelar,referido,2026-07-01,,invalido,20314459025,TRUE,FALSE,,1,TRUE,26,cuil,TRUE,TRUE,sin teléfono utilizable,2026-07-28,27,media,,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15; duplicado +0 → descarte
T02 Bruno Paz,27-32118745-0,+54 9 11 4161 7956,Haedo,formulario web,2026-07-02,,invalido,27321187450,TRUE,FALSE,,2,TRUE,27,cuil,TRUE,TRUE,sin teléfono utilizable,2026-07-28,26,media,,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; formulario web +10; duplicado +0 → descarte
T03 Celia Mota,20-33920014-9,549 11 4161 7956,Morón,evento,2026-07-03,,invalido,20339200149,FALSE,TRUE,,3,FALSE,,,TRUE,TRUE,sin teléfono utilizable,2026-07-28,25,media,,35,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura media +15; evento +10
T04 Dario Sena,24-34501277-6,011 15 4161-7956,Hurlingham,campaña Meta,2026-07-04,,invalido,24345012776,TRUE,FALSE,,4,TRUE,28,cuil,TRUE,TRUE,sin teléfono utilizable,2026-07-28,24,media,,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5; duplicado +0 → descarte
T05 Elsa Vidal,27-35110488-6,15-4161-7956,Ituzaingó,base propia,2026-07-05,+541541617956,ambiguo,27351104886,TRUE,FALSE,1541617956,5,FALSE,,,TRUE,FALSE,,2026-07-28,23,media,,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; base propia +0
T06 Fabio Luna,20-36002911-6,4161-7956,Ramos Mejía,referido,2026-07-06,,invalido,20360029116,TRUE,FALSE,,6,FALSE,,,TRUE,TRUE,sin teléfono utilizable,2026-07-28,22,media,,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15
T07 Gina Roldán,23-37451200-5,(011) 4161-7956,San Justo,evento,2026-07-07,+541141617956,fijo,23374512005,TRUE,FALSE,1141617956,7,FALSE,,,TRUE,FALSE,,2026-07-28,21,media,,70,alta,fijo +10; cuil válido +15; en zona +20; frescura media +15; evento +10
T08 Hugo Ferro,20-38112003-2,1141617956.0,Villa Luzuriaga,referido,2026-07-08,,invalido,20381120032,TRUE,FALSE,,8,FALSE,,,TRUE,TRUE,sin teléfono utilizable,2026-07-28,20,media,,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15
T09 Ivan Costa,24-39220145-5,1.14162E+09,Castelar,campaña Meta,2026-07-09,,invalido,24392201455,TRUE,FALSE,,9,FALSE,,,TRUE,TRUE,sin teléfono utilizable,2026-07-28,19,media,,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5
T10 Jana Ortiz,27-40330288-6,1141617956 / 1165385561,Haedo,formulario web,2026-07-10,,invalido,27403302886,TRUE,FALSE,,10,FALSE,,,TRUE,TRUE,sin teléfono utilizable,2026-07-28,18,media,,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; formulario web +10
T11 Kevin Diaz,20-41007733-8,  1155551111  ,Morón,referido,2026-07-11,+541155551111,ambiguo,20410077338,TRUE,FALSE,1155551111,11,TRUE,12,telefono,TRUE,FALSE,,2026-07-28,17,media,,83,descartado,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; referido +15; duplicado +0 → descarte
T12 Lara Sosa,27-41880422-5,+549 11 5555-1111,Morón,evento,2026-07-12,+5491155551111,celular,27418804225,TRUE,FALSE,1155551111,12,FALSE,,,TRUE,FALSE,,2026-07-28,16,media,,90,alta,celular +30; cuil válido +15; en zona +20; frescura media +15; evento +10
T13 Mateo Rey,24-42115509-3,011-45551111,Hurlingham,base propia,2026-07-13,+541145551111,fijo,24421155093,TRUE,FALSE,1145551111,13,TRUE,14,telefono,TRUE,FALSE,,2026-07-28,15,alta,,70,descartado,fijo +10; cuil válido +15; en zona +20; frescura alta +25; base propia +0; duplicado +0 → descarte
T14 Nadia Bravo,23-42998100-9,1145551111,Hurlingham,referido,2026-07-14,+541145551111,fijo,23429981009,FALSE,TRUE,1145551111,14,FALSE,,,TRUE,FALSE,,2026-07-28,14,alta,,60,media,fijo +10; cuil inválido -10; en zona +20; frescura alta +25; referido +15
T15 Omar Vega,20-43220017-6,1168442737,MORÓN,referido,2026-07-15,+541168442737,ambiguo,20432200176,TRUE,FALSE,1168442737,15,FALSE,,,TRUE,FALSE,,2026-07-28,13,alta,,93,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; referido +15
T16 Pia Nuñez,27-43771902-6,1168442738,moron,evento,2026-07-16,+541168442738,ambiguo,27437719026,TRUE,FALSE,1168442738,16,FALSE,,,TRUE,FALSE,,2026-07-28,12,alta,,88,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; evento +10
T17 Raul Gomez,20-44001255-9,1168442739, Haedo ,campaña Meta,2026-07-17,+541168442739,ambiguo,20440012559,TRUE,FALSE,1168442739,17,FALSE,,,TRUE,FALSE,,2026-07-28,11,alta,,83,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; campaña Meta +5
T18 Sara Molina,24-44552388-3,1168442740,Ramos Mejia,referido,2026-07-18,+541168442740,ambiguo,24445523883,TRUE,FALSE,1168442740,18,FALSE,,,TRUE,FALSE,,2026-07-28,10,alta,,93,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; referido +15
T19 Tomas Cruz,20-45110944-9,1168442741,Morón (Buenos Aires),evento,2026-07-19,+541168442741,ambiguo,20451109449,TRUE,FALSE,1168442741,19,FALSE,,,FALSE,TRUE,fuera de zona de cobertura,2026-07-28,9,alta,,68,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; evento +10
T20 Uma Prieto,27-45880233-0,1168442742,Ciudad de Buenos Aires,referido,2026-07-20,+541168442742,ambiguo,27458802330,TRUE,FALSE,1168442742,20,FALSE,,,FALSE,TRUE,fuera de zona de cobertura,2026-07-28,8,alta,,73,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; referido +15
T21 Vito Alonso,23-46220188-5,1168442743,,base propia,2026-07-21,+541168442743,ambiguo,23462201885,TRUE,FALSE,1168442743,21,FALSE,,,FALSE,TRUE,fuera de zona de cobertura,2026-07-28,7,alta,,58,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; base propia +0
T22 Wanda Rios,20-46991044-0,1168442744,Merlo,referido,2026-07-22,+541168442744,ambiguo,20469910440,TRUE,FALSE,1168442744,22,FALSE,,,FALSE,TRUE,fuera de zona de cobertura,2026-07-28,6,alta,,73,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; referido +15
T23 Xul Peralta,,1168442745,Castelar,evento,2026-07-23,+541168442745,ambiguo,,FALSE,FALSE,1168442745,23,FALSE,,,TRUE,FALSE,,2026-07-28,5,alta,,63,media,ambiguo +18; cuil inválido -10; en zona +20; frescura alta +25; evento +10
T24 Yago Medina,20-4412233,1168442746,Haedo,referido,2026-07-24,+541168442746,ambiguo,204412233,FALSE,FALSE,1168442746,24,FALSE,,,TRUE,FALSE,,2026-07-28,4,alta,,68,media,ambiguo +18; cuil inválido -10; en zona +20; frescura alta +25; referido +15
T25 Zoe Arce,99-44122335-4,1168442747,Morón,campaña Meta,2026-07-25,+541168442747,ambiguo,99441223354,FALSE,FALSE,1168442747,25,FALSE,,,TRUE,FALSE,,2026-07-28,3,alta,,58,media,ambiguo +18; cuil inválido -10; en zona +20; frescura alta +25; campaña Meta +5
T26 Abel Ponce,20314459025,1168442748,Castelar,referido,2026-07-26,+541168442748,ambiguo,20314459025,TRUE,FALSE,1168442748,26,FALSE,,,TRUE,FALSE,,2026-07-28,2,alta,,93,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; referido +15
T27 Bea Quiroga,27.32118745.0,1168442749,Haedo,evento,2026-07-27,+541168442749,ambiguo,27321187450,TRUE,FALSE,1168442749,27,FALSE,,,TRUE,FALSE,,2026-07-28,1,alta,,88,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; evento +10
T28 Ciro Duarte,24 34501277 6,1168442750,Morón,referido,2026-07-28,+541168442750,ambiguo,24345012776,TRUE,FALSE,1168442750,28,FALSE,,,TRUE,FALSE,,2026-07-28,0,alta,,93,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; referido +15
T29 Dana Miranda,20-47220011-0,1168442751,Castelar,evento,2026-07-28,+541168442751,ambiguo,20472200110,FALSE,TRUE,1168442751,29,FALSE,,,TRUE,FALSE,,2026-07-28,0,alta,,63,media,ambiguo +18; cuil inválido -10; en zona +20; frescura alta +25; evento +10
T30 Erik Salas,30-71234567-1,1168442752,Haedo,base propia,2026-06-30,+541168442752,ambiguo,30712345671,TRUE,FALSE,1168442752,30,FALSE,,,TRUE,FALSE,,2026-07-28,28,media,,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura media +15; base propia +0
